Timestamp	Filename	Error	Message
2023-03-02 11:30:15.053 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 11:30:15.068 +0800	InputCOA	0	script steps imported : 1
2023-03-02 11:30:15.070 +0800	GL.fmp12	0	Import completed
2023-03-02 12:46:33.506 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 12:46:33.522 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 12:46:33.522 +0800	GL.fmp12	0	Import completed
2023-03-02 12:46:45.742 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 12:46:45.758 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 12:46:45.758 +0800	GL.fmp12	0	Import completed
2023-03-02 12:47:12.611 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 12:47:12.627 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 12:47:12.627 +0800	GL.fmp12	0	Import completed
2023-03-02 12:47:40.697 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 12:47:40.713 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 12:47:40.713 +0800	GL.fmp12	0	Import completed
2023-03-02 12:48:04.705 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 12:48:04.721 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 12:48:04.721 +0800	GL.fmp12	0	Import completed
2023-03-02 12:48:12.719 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 12:48:12.735 +0800	Validasi fix	0	script steps imported : 1
2023-03-02 12:48:12.735 +0800	GL.fmp12	0	Import completed
